제목,내용,블로거,작성일,링크,분류,신뢰도,신뢰등급,협찬표기,내돈내산표기,과장수,과장의심,긍정수,부정수,긍정점수,단점있음,감정의심,시간의심,블로거의심,블로거리뷰수,구조의심,홍보수
재방문 의사 없음,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,서울푸디,20250502,https://blog.naver.com/test/120,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,6,False,1
회사 점심 자주가는곳,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방15,20250426,https://blog.naver.com/test/121,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,4,False,0
메뉴 가격 비싼편,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방31,20250506,https://blog.naver.com/test/122,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,4,False,0
점심특선 추천,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방22,20250423,https://blog.naver.com/test/123,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,4,False,0
분위기좋은데 음식 보통,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방8,20250413,https://blog.naver.com/test/124,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,7,False,1
협찬받아 방문 강추합니다,협찬 받고 솔직하게 쓰는 후기 진짜 최고 맛집이에요 완전 추천,맛집탐방13,20250414,https://blog.naver.com/test/125,정당한 협찬,20,의심,True,False,5,True,3,0,1.0,False,True,False,True,3,False,0
메뉴 가격 비싼편,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방39,20250419,https://blog.naver.com/test/126,일반 리뷰,80,신뢰,False,False,0,False,0,0,0.5,False,False,False,True,3,False,0
분위기좋은데 음식 보통,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방24,20250412,https://blog.naver.com/test/127,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,3,False,1
협찬받아 방문 강추합니다,업체로부터 제공받아 방문했습니다 음식도 맛있고 서비스도 훌륭하고 완전 만족,맛집헌터,20250506,https://blog.naver.com/test/128,정당한 협찬,35,의심,True,False,2,False,4,0,1.0,False,True,False,True,12,False,0
친구추천 괜찮았어요,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방7,20250401,https://blog.naver.com/test/129,뒷광고 의심,65,주의,False,False,2,False,1,0,1.0,False,True,False,True,6,False,1
사장님 친절,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방12,20250404,https://blog.naver.com/test/130,일반 리뷰,90,신뢰,False,False,0,False,2,1,0.6666666666666666,True,False,False,True,4,False,0
사장님 친절,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방5,20250426,https://blog.naver.com/test/131,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,9,False,0
인생맛집 진짜 최고 강추!!,업체로부터 제공받아 방문했습니다 음식도 맛있고 서비스도 훌륭하고 완전 만족,강남맛왕,20250420,https://blog.naver.com/test/132,정당한 협찬,20,의심,True,False,5,True,5,0,1.0,False,True,False,True,14,False,0
회사 점심 자주가는곳,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방27,20250509,https://blog.naver.com/test/133,일반 리뷰,80,신뢰,False,False,0,False,0,0,0.5,False,False,False,True,7,False,0
오랜만에 맛집발견,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방29,20250420,https://blog.naver.com/test/134,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,4,False,1
메뉴 가격 비싼편,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방40,20250407,https://blog.naver.com/test/135,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,5,False,0
분위기좋은데 음식 보통,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방11,20250416,https://blog.naver.com/test/136,뒷광고 의심,55,주의,False,False,0,False,2,0,1.0,False,True,True,True,9,False,0
친구추천 괜찮았어요,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방27,20250429,https://blog.naver.com/test/137,일반 리뷰,90,신뢰,False,False,1,False,2,1,0.6666666666666666,True,False,False,True,7,False,0
재방문 의사 없음,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방19,20250430,https://blog.naver.com/test/138,뒷광고 의심,55,주의,False,False,0,False,1,0,1.0,False,True,True,True,3,False,0
데이트 맛집 추천,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집헌터,20250508,https://blog.naver.com/test/139,뒷광고 의심,65,주의,False,False,1,False,2,0,1.0,False,True,False,True,12,False,0
웨이팅 길지만 갈만함,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,서울푸디,20250410,https://blog.naver.com/test/140,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,6,False,1
회사 점심 자주가는곳,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방11,20250420,https://blog.naver.com/test/141,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,9,False,0
사장님 친절,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방26,20250418,https://blog.naver.com/test/142,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,5,False,0
메뉴 가격 비싼편,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방28,20250421,https://blog.naver.com/test/143,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,4,False,0
체험단 솔직후기,내돈내산인데 진짜 역대급 완벽 맛집 최고 강추 무조건 가세요,맛집탐방37,20250508,https://blog.naver.com/test/144,정당한 협찬,20,의심,True,True,6,True,3,0,1.0,False,True,False,True,4,False,0
직접 가본 후기,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방37,20250403,https://blog.naver.com/test/145,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,4,False,0
직접 가본 후기,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방18,20250412,https://blog.naver.com/test/146,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,3,False,1
사장님 친절,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방31,20250423,https://blog.naver.com/test/147,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,4,False,0
직접 가본 후기,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방11,20250422,https://blog.naver.com/test/148,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,9,False,0
분위기좋은데 음식 보통,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방36,20250403,https://blog.naver.com/test/149,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,4,False,0
제공받고 방문한 맛집,체험단으로 방문 인생 파스타 레전드급 맛집 무조건 가세요 후회없음,서울푸디,20250503,https://blog.naver.com/test/150,정당한 협찬,45,주의,True,False,3,True,0,1,0.0,True,False,False,True,6,False,0
웨이팅 길지만 갈만함,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방27,20250404,https://blog.naver.com/test/151,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,7,False,1
메뉴 가격 비싼편,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집헌터,20250429,https://blog.naver.com/test/152,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,12,False,1
협찬받아 방문 강추합니다,업체로부터 제공받아 방문했습니다 음식도 맛있고 서비스도 훌륭하고 완전 만족,맛집탐방29,20250502,https://blog.naver.com/test/153,정당한 협찬,35,의심,True,False,2,False,4,0,1.0,False,True,False,True,4,False,0
앰배서더 활동 후기,협찬 받고 솔직하게 쓰는 후기 진짜 최고 맛집이에요 완전 추천,맛집헌터,20250420,https://blog.naver.com/test/154,정당한 협찬,20,의심,True,False,4,True,2,0,1.0,False,True,False,True,12,False,0
회사 점심 자주가는곳,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방8,20250430,https://blog.naver.com/test/155,뒷광고 의심,55,주의,False,False,0,False,1,0,1.0,False,True,True,True,7,False,1
친구추천 괜찮았어요,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방19,20250503,https://blog.naver.com/test/156,뒷광고 의심,65,주의,False,False,2,False,1,0,1.0,False,True,False,True,3,False,1
사장님 친절,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방16,20250430,https://blog.naver.com/test/157,뒷광고 의심,55,주의,False,False,1,False,2,0,1.0,False,True,True,True,6,False,1
데이트 맛집 추천,혼밥하기 좋은 분위기 음식도 무난하게 맛있어요,맛집탐방33,20250409,https://blog.naver.com/test/158,뒷광고 의심,65,주의,False,False,1,False,3,0,1.0,False,True,False,True,4,False,0
분위기 카페같은 식당,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방22,20250503,https://blog.naver.com/test/159,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,4,False,0
분위기좋은데 음식 보통,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방38,20250508,https://blog.naver.com/test/160,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,4,False,0
사장님 친절,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방31,20250423,https://blog.naver.com/test/161,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,4,False,0
웨이팅 길지만 갈만함,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방30,20250421,https://blog.naver.com/test/162,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,7,False,0
재방문 의사 없음,혼밥하기 좋은 분위기 음식도 무난하게 맛있어요,맛집탐방25,20250415,https://blog.naver.com/test/163,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,6,False,0
소정의 원고료 받고 작성,내돈내산인데 진짜 역대급 완벽 맛집 최고 강추 무조건 가세요,맛집탐방25,20250425,https://blog.naver.com/test/164,정당한 협찬,20,의심,True,True,6,True,3,0,1.0,False,True,False,True,6,False,0
강남역 파스타 솔직후기,분위기 괜찮은데 음식이 기대보다 별로 아쉽,맛집탐방33,20250508,https://blog.naver.com/test/165,일반 리뷰,90,신뢰,False,False,0,False,0,2,0.0,True,False,False,True,4,False,0
혼밥하기 좋은곳,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방7,20250504,https://blog.naver.com/test/166,뒷광고 의심,65,주의,False,False,1,False,2,0,1.0,False,True,False,True,6,False,1
역대급 레전드 맛집,소정의 원고료를 받고 작성했습니다 분위기도 완벽하고 음식도 대박,맛집탐방10,20250405,https://blog.naver.com/test/167,정당한 협찬,30,의심,True,False,4,True,2,0,1.0,False,True,False,False,2,False,0
분위기좋은데 음식 보통,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방40,20250426,https://blog.naver.com/test/168,일반 리뷰,90,신뢰,False,False,0,False,2,1,0.6666666666666666,True,False,False,True,5,False,0
혼밥하기 좋은곳,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방25,20250421,https://blog.naver.com/test/169,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,6,False,0
강남역 파스타 솔직후기,혼밥하기 좋은 분위기 음식도 무난하게 맛있어요,맛집탐방5,20250416,https://blog.naver.com/test/170,뒷광고 의심,55,주의,False,False,0,False,2,0,1.0,False,True,True,True,9,False,0
점심특선 추천,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방28,20250407,https://blog.naver.com/test/171,뒷광고 의심,65,주의,False,False,1,False,2,0,1.0,False,True,False,True,4,False,0
점심특선 추천,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방2,20250403,https://blog.naver.com/test/172,뒷광고 의심,65,주의,False,False,1,False,2,0,1.0,False,True,False,True,3,False,0
분위기좋은데 음식 보통,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방24,20250428,https://blog.naver.com/test/173,일반 리뷰,90,신뢰,False,False,0,False,2,1,0.6666666666666666,True,False,False,True,3,False,0
오랜만에 맛집발견,혼밥하기 좋은 분위기 음식도 무난하게 맛있어요,맛집탐방12,20250411,https://blog.naver.com/test/174,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,4,False,0
내돈내산 완전 추천 인생맛집,내돈내산 직접 가봤는데 진짜 최고 대박 완전 추천 인생맛집이에요 강추,맛집탐방32,20250508,https://blog.naver.com/test/175,내돈내산 위장,45,주의,False,True,10,True,4,0,1.0,False,True,False,False,2,False,0
직접 가본 후기,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방30,20250417,https://blog.naver.com/test/176,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,7,False,0
사장님 친절,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방35,20250411,https://blog.naver.com/test/177,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,3,False,0
가성비 강남맛집,혼밥하기 좋은 분위기 음식도 무난하게 맛있어요,맛집탐방20,20250428,https://blog.naver.com/test/178,뒷광고 의심,65,주의,False,False,0,False,3,0,1.0,False,True,False,True,8,False,0
분위기좋은데 음식 보통,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방25,20250501,https://blog.naver.com/test/179,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,6,False,1
메뉴 가격 비싼편,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방37,20250419,https://blog.naver.com/test/180,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,4,False,0
내돈내산 완전 추천 인생맛집,체험단으로 방문 인생 파스타 레전드급 맛집 무조건 가세요 후회없음,강남맛왕,20250404,https://blog.naver.com/test/181,정당한 협찬,45,주의,True,True,6,True,1,1,0.5,True,False,False,True,14,False,0
데이트 맛집 추천,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방15,20250509,https://blog.naver.com/test/182,뒷광고 의심,65,주의,False,False,1,False,2,0,1.0,False,True,False,True,4,False,0
체험단 솔직후기,내돈내산 직접 가봤는데 진짜 최고 대박 완전 추천 인생맛집이에요 강추,강남맛왕,20250409,https://blog.naver.com/test/183,정당한 협찬,20,의심,True,True,7,True,4,0,1.0,False,True,False,True,14,False,0
직접 가본 후기,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방20,20250429,https://blog.naver.com/test/184,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,8,False,0
점심특선 추천,분위기 괜찮은데 음식이 기대보다 별로 아쉽,맛집탐방6,20250419,https://blog.naver.com/test/185,일반 리뷰,90,신뢰,False,False,1,False,1,2,0.3333333333333333,True,False,False,True,5,False,0
친구추천 괜찮았어요,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방9,20250505,https://blog.naver.com/test/186,뒷광고 의심,65,주의,False,False,1,False,2,0,1.0,False,True,False,True,6,False,1
데이트 맛집 추천,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방11,20250417,https://blog.naver.com/test/187,뒷광고 의심,65,주의,False,False,1,False,2,0,1.0,False,True,False,True,9,False,0
분위기좋은데 음식 보통,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방8,20250430,https://blog.naver.com/test/188,일반 리뷰,80,신뢰,False,False,0,False,2,1,0.6666666666666666,True,False,True,True,7,False,0
체험단 솔직후기,협찬 받고 솔직하게 쓰는 후기 진짜 최고 맛집이에요 완전 추천,맛집탐방26,20250506,https://blog.naver.com/test/189,정당한 협찬,20,의심,True,False,4,True,2,0,1.0,False,True,False,True,5,False,0
내돈내산 완전 추천 인생맛집,진짜 최고 완벽 대박 모든 메뉴가 다 맛있고 사장님도 완전 친절하시고 분위기도 최고 강추,맛집헌터,20250430,https://blog.naver.com/test/190,내돈내산 위장,25,의심,False,True,10,True,7,0,1.0,False,True,True,True,12,False,0
직접 가본 후기,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방38,20250425,https://blog.naver.com/test/191,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,4,False,0
체험단 솔직후기,소정의 원고료를 받고 작성했습니다 분위기도 완벽하고 음식도 대박,강남맛왕,20250421,https://blog.naver.com/test/192,정당한 협찬,35,의심,True,False,2,False,2,0,1.0,False,True,False,True,14,False,0
직접 가본 후기,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방20,20250427,https://blog.naver.com/test/193,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,8,False,1
인생맛집 진짜 최고 강추!!,체험단으로 방문 인생 파스타 레전드급 맛집 무조건 가세요 후회없음,맛집탐방8,20250407,https://blog.naver.com/test/194,정당한 협찬,45,주의,True,False,7,True,2,1,0.6666666666666666,True,False,False,True,7,False,0
친구추천 괜찮았어요,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방30,20250424,https://blog.naver.com/test/195,뒷광고 의심,65,주의,False,False,1,False,3,0,1.0,False,True,False,True,7,False,0
점심특선 추천,분위기 괜찮은데 음식이 기대보다 별로 아쉽,맛집탐방27,20250407,https://blog.naver.com/test/196,일반 리뷰,90,신뢰,False,False,1,False,1,2,0.3333333333333333,True,False,False,True,7,False,0
분위기좋은데 음식 보통,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방24,20250414,https://blog.naver.com/test/197,일반 리뷰,90,신뢰,False,False,0,False,2,1,0.6666666666666666,True,False,False,True,3,False,0
재방문 의사 없음,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방7,20250424,https://blog.naver.com/test/198,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,6,False,0
제공받고 방문한 맛집,업체로부터 제공받아 방문했습니다 음식도 맛있고 서비스도 훌륭하고 완전 만족,맛집탐방30,20250406,https://blog.naver.com/test/199,정당한 협찬,35,의심,True,False,1,False,3,0,1.0,False,True,False,True,7,False,0
